11/3/2016
11:16:56 AM

0, CH+=0, CH-=199, Range=+/-10, y=a


Time	v0	y0
0.000000	0.852833	0.852833
0.002000	0.854098	0.854098
0.004000	0.853149	0.853149
0.006000	0.851569	0.851569
0.008000	0.853465	0.853465
0.010000	0.854098	0.854098
0.012000	0.853465	0.853465
0.014000	0.852201	0.852201
0.016000	0.852517	0.852517
0.018000	0.851885	0.851885
0.020000	0.852201	0.852201
0.022000	0.853782	0.853782
0.024000	0.852833	0.852833
0.026000	0.851569	0.851569
0.028000	0.850305	0.850305
0.030000	0.853149	0.853149
0.032000	0.853465	0.853465
0.034000	0.853465	0.853465
0.036000	0.852201	0.852201
0.038000	0.851569	0.851569
0.040000	0.852201	0.852201
0.042000	0.853465	0.853465
0.044000	0.853149	0.853149
0.046000	0.852517	0.852517
0.048000	0.851253	0.851253
0.050000	0.851253	0.851253
0.052000	0.851885	0.851885
0.054000	0.852517	0.852517
0.056000	0.851253	0.851253
0.058000	0.851569	0.851569
0.060000	0.850937	0.850937
0.062000	0.850937	0.850937
0.064000	0.853465	0.853465
0.066000	0.854098	0.854098
0.068000	0.850305	0.850305
0.070000	0.850621	0.850621
0.072000	0.852833	0.852833
0.074000	0.852201	0.852201
0.076000	0.851569	0.851569
0.078000	0.851569	0.851569
0.080000	0.852201	0.852201
0.082000	0.850621	0.850621
0.084000	0.850305	0.850305
0.086000	0.852833	0.852833
0.088000	0.852201	0.852201
0.090000	0.851569	0.851569
0.092000	0.851569	0.851569
0.094000	0.852833	0.852833
0.096000	0.851253	0.851253
0.098000	0.853465	0.853465
0.100000	0.850937	0.850937
0.102000	0.852201	0.852201
0.104000	0.851253	0.851253
0.106000	0.851885	0.851885
0.108000	0.852517	0.852517
0.110000	0.853149	0.853149
0.112000	0.851885	0.851885
0.114000	0.851253	0.851253
0.116000	0.852201	0.852201
0.118000	0.852833	0.852833
0.120000	0.852833	0.852833
0.122000	0.853149	0.853149
0.124000	0.851569	0.851569
0.126000	0.852201	0.852201
0.128000	0.854098	0.854098
0.130000	0.853465	0.853465
0.132000	0.853465	0.853465
0.134000	0.851885	0.851885
0.136000	0.853149	0.853149
0.138000	0.854730	0.854730
0.140000	0.854414	0.854414
0.142000	0.854098	0.854098
0.144000	0.854098	0.854098
0.146000	0.850621	0.850621
0.148000	0.851569	0.851569
0.150000	0.853465	0.853465
0.152000	0.853782	0.853782
0.154000	0.852517	0.852517
0.156000	0.851569	0.851569
0.158000	0.852833	0.852833
0.160000	0.852517	0.852517
0.162000	0.854098	0.854098
0.164000	0.852833	0.852833
0.166000	0.850937	0.850937
0.168000	0.851253	0.851253
0.170000	0.852833	0.852833
0.172000	0.853782	0.853782
0.174000	0.853149	0.853149
0.176000	0.852517	0.852517
0.178000	0.851569	0.851569
0.180000	0.851885	0.851885
0.182000	0.852517	0.852517
0.184000	0.853782	0.853782
0.186000	0.853465	0.853465
0.188000	0.852833	0.852833
0.190000	0.851885	0.851885
0.192000	0.851885	0.851885
0.194000	0.852201	0.852201
0.196000	0.854730	0.854730
0.198000	0.852833	0.852833
0.200000	0.851885	0.851885
0.202000	0.853465	0.853465
0.204000	0.850937	0.850937
0.206000	0.852517	0.852517
0.208000	0.853782	0.853782
0.210000	0.851885	0.851885
0.212000	0.852201	0.852201
0.214000	0.853465	0.853465
0.216000	0.855678	0.855678
0.218000	0.854730	0.854730
0.220000	0.851569	0.851569
0.222000	0.853149	0.853149
0.224000	0.852201	0.852201
0.226000	0.851569	0.851569
0.228000	0.854414	0.854414
0.230000	0.852517	0.852517
0.232000	0.852517	0.852517
0.234000	0.852201	0.852201
0.236000	0.854414	0.854414
0.238000	0.852833	0.852833
0.240000	0.853782	0.853782
0.242000	0.851885	0.851885
0.244000	0.851569	0.851569
0.246000	0.852517	0.852517
0.248000	0.852833	0.852833
0.250000	0.852517	0.852517
0.252000	0.852833	0.852833
0.254000	0.852201	0.852201
0.256000	0.852833	0.852833
0.258000	0.853782	0.853782
0.260000	0.852833	0.852833
0.262000	0.853149	0.853149
0.264000	0.851569	0.851569
0.266000	0.852517	0.852517
0.268000	0.851569	0.851569
0.270000	0.852201	0.852201
0.272000	0.852517	0.852517
0.274000	0.851569	0.851569
0.276000	0.851885	0.851885
0.278000	0.851253	0.851253
0.280000	0.853465	0.853465
0.282000	0.852201	0.852201
0.284000	0.852517	0.852517
0.286000	0.852201	0.852201
0.288000	0.851569	0.851569
0.290000	0.851885	0.851885
0.292000	0.852833	0.852833
0.294000	0.852833	0.852833
0.296000	0.850937	0.850937
0.298000	0.850937	0.850937
0.300000	0.850305	0.850305
0.302000	0.849673	0.849673
0.304000	0.851569	0.851569
0.306000	0.851253	0.851253
0.308000	0.849357	0.849357
0.310000	0.848408	0.848408
0.312000	0.850621	0.850621
0.314000	0.850937	0.850937
0.316000	0.849673	0.849673
0.318000	0.849357	0.849357
0.320000	0.850937	0.850937
0.322000	0.849673	0.849673
0.324000	0.850305	0.850305
0.326000	0.849673	0.849673
0.328000	0.848408	0.848408
0.330000	0.848092	0.848092
0.332000	0.849357	0.849357
0.334000	0.849041	0.849041
0.336000	0.848408	0.848408
0.338000	0.848092	0.848092
0.340000	0.848724	0.848724
0.342000	0.847460	0.847460
0.344000	0.849041	0.849041
0.346000	0.849673	0.849673
0.348000	0.849041	0.849041
0.350000	0.849673	0.849673
0.352000	0.847460	0.847460
0.354000	0.849041	0.849041
0.356000	0.849357	0.849357
0.358000	0.849041	0.849041
0.360000	0.849041	0.849041
0.362000	0.849673	0.849673
0.364000	0.850621	0.850621
0.366000	0.849673	0.849673
0.368000	0.851253	0.851253
0.370000	0.848724	0.848724
0.372000	0.850621	0.850621
0.374000	0.850937	0.850937
0.376000	0.852201	0.852201
0.378000	0.850937	0.850937
0.380000	0.850937	0.850937
0.382000	0.849357	0.849357
0.384000	0.851885	0.851885
0.386000	0.851253	0.851253
0.388000	0.850305	0.850305
0.390000	0.851885	0.851885
0.392000	0.848724	0.848724
0.394000	0.851569	0.851569
0.396000	0.850305	0.850305
0.398000	0.851569	0.851569
0.400000	0.851569	0.851569
0.402000	0.849673	0.849673
0.404000	0.849989	0.849989
0.406000	0.850621	0.850621
0.408000	0.849989	0.849989
0.410000	0.850937	0.850937
0.412000	0.850621	0.850621
0.414000	0.849041	0.849041
0.416000	0.849041	0.849041
0.418000	0.850937	0.850937
0.420000	0.850305	0.850305
0.422000	0.849357	0.849357
0.424000	0.849989	0.849989
0.426000	0.847776	0.847776
0.428000	0.849989	0.849989
0.430000	0.849673	0.849673
0.432000	0.849989	0.849989
0.434000	0.849041	0.849041
0.436000	0.849673	0.849673
0.438000	0.849673	0.849673
0.440000	0.849673	0.849673
0.442000	0.849673	0.849673
